Entity,Code,Year,emissions
United States,USA,2014,5572.106312157075
United States,USA,2015,5422.965677347358
United States,USA,2016,5306.662457005159
United States,USA,2017,5270.748525435833
United States,USA,2018,5416.277883481675
India,IND,1990,616.5792429658998
India,IND,1991,656.740892895225
India,IND,1992,698.7569497146001
India,IND,1993,722.8942594153001
India,IND,1994,764.2421028847226
India,IND,1995,811.4609266723638
India,IND,1996,878.8271197753535
India,IND,1997,915.049312957775
India,IND,1998,933.5492581445626
India,IND,1999,995.2330716088501
India,IND,2000,1029.637758989675
India,IND,2001,1035.6403452880097
India,IND,2002,1047.5956514675
India,IND,2003,1091.87300948125
India,IND,2004,1145.545439788422
India,IND,2005,1210.1456667912673
India,IND,2006,1287.1492113997533
India,IND,2007,1390.2534913318855
India,IND,2008,1547.9908231684851
India,IND,2009,1720.120560262227
India,IND,2010,1700.0273944652188
India,IND,2011,1811.9613917473778
India,IND,2012,1979.0469089680348
India,IND,2013,1994.1009936985627
India,IND,2014,2199.40004124655
India,IND,2015,2298.1700902179664
India,IND,2016,2371.752345655517
India,IND,2017,2456.9544854568726
India,IND,2018,2654.101041559118
Europe,,1990,8366.08541449257
Europe,,1991,8014.92238016243
Europe,,1992,7090.096127826184
Europe,,1993,6802.959442465531
Europe,,1994,6449.311381764107
Europe,,1995,6433.814635438157
Europe,,1996,6480.101415128942
Europe,,1997,6280.24809537156
Europe,,1998,6249.670464084937
Europe,,1999,6161.68310453519
Europe,,2000,6165.187298213077
Europe,,2001,6298.054889740529
Europe,,2002,6257.632652598895
Europe,,2003,6398.286572985178
Europe,,2004,6426.921347241064
Europe,,2005,6416.502097602944
Europe,,2006,6512.917543752769
Europe,,2007,6461.464175293868
Europe,,2008,6390.157039227495
Europe,,2009,5882.725718515582
Europe,,2010,6107.598693337261
Europe,,2011,6031.36060344863
Europe,,2012,5974.188667116255
Europe,,2013,5820.67560516307
Europe,,2014,5595.415942319811
Europe,,2015,5600.982152291858
Europe,,2016,5595.4067318813595
Europe,,2017,5632.96719776032
Europe,,2018,5627.1020135713725
Africa,,1990,658.1456513007574
Africa,,1991,687.3948150146313
Africa,,1992,669.8674000151663
Africa,,1993,710.3431874792005
Africa,,1994,721.1573173711355
Africa,,1995,773.2315272642506
Africa,,1996,783.9010343719381
Africa,,1997,813.9420600204686
Africa,,1998,838.1302860356045
Africa,,1999,830.3843267234342
Africa,,2000,891.3701416197842
Africa,,2001,885.187785159715
Africa,,2002,890.4958105754962
Africa,,2003,966.5776531565963
Africa,,2004,1033.3903263898321
Africa,,2005,1051.6923754659038
Africa,,2006,1091.6492444995254
Africa,,2007,1134.6251129587788
Africa,,2008,1185.1058946006278
Africa,,2009,1196.4664373776702
Africa,,2010,1220.4941750156413
Africa,,2011,1250.9254237188507
Africa,,2012,1260.971595326695
Africa,,2013,1277.276336695815
Africa,,2014,1365.297815014243
Africa,,2015,1330.2367137994756
Africa,,2016,1354.9609159645165
Africa,,2017,1370.1403274769157
Africa,,2018,1400.8412102697548
South America,,1990,583.4537090473862
South America,,1991,589.9253425050618
South America,,1992,599.310961656881
South America,,1993,634.0003769995672
South America,,1994,652.3090743109913
South America,,1995,684.7453329731645
South America,,1996,716.8148067161109
South America,,1997,757.7593797260755
South America,,1998,811.6702461854414
South America,,1999,827.2708353205726
South America,,2000,807.0075360319496
South America,,2001,818.452793041217
South America,,2002,828.5526932264802
South America,,2003,831.7379944443476
South America,,2004,840.384304561372
South America,,2005,880.2505868017158
South America,,2006,897.9810432180257
South America,,2007,916.6630454664438
South America,,2008,989.6606297211862
South America,,2009,974.5820421748643
South America,,2010,1059.075401726349
South America,,2011,1062.6963727613836
South America,,2012,1125.3927407850085
South America,,2013,1166.250041134838
South America,,2014,1198.3039835470736
South America,,2015,1170.890808102911
South America,,2016,1134.3849989543753
South America,,2017,1125.5205007738507
South America,,2018,1112.9340357582964
North America (excl. USA),,1990,884.2358081863241
North America (excl. USA),,1991,884.0292324301497
North America (excl. USA),,1992,897.6034047119197
North America (excl. USA),,1993,905.3664526384894
North America (excl. USA),,1994,938.7679658367971
North America (excl. USA),,1995,940.3999819525496
North America (excl. USA),,1996,977.0168058861176
North America (excl. USA),,1997,1015.6611018791285
North America (excl. USA),,1998,1038.789330485516
North America (excl. USA),,1999,1065.4321694809316
North America (excl. USA),,2000,1107.5871743172745
North America (excl. USA),,2001,1120.85361934736
North America (excl. USA),,2002,1133.0168768972887
North America (excl. USA),,2003,1181.5006259800668
North America (excl. USA),,2004,1181.5626940673699
North America (excl. USA),,2005,1205.006007633105
North America (excl. USA),,2006,1220.736247357201
North America (excl. USA),,2007,1254.0206380778945
North America (excl. USA),,2008,1246.7878492317009
North America (excl. USA),,2009,1195.4669581988846
North America (excl. USA),,2010,1202.6408530390893
North America (excl. USA),,2011,1233.0330858440623
North America (excl. USA),,2012,1241.7196757143995
North America (excl. USA),,2013,1244.7896889945455
North America (excl. USA),,2014,1236.7756280255542
North America (excl. USA),,2015,1239.2168772534465
North America (excl. USA),,2016,1228.6424283167707
North America (excl. USA),,2017,1242.3000510900395
North America (excl. USA),,2018,1228.750609714682
